name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,Dövüşçü Kimliği
James Bochnovic,8,3,193.04,93.0,205.74,1.0,35.0,0.65,0.26,3.64,0.21,0.0,0.0,0.0,0.0,997
Luan Chagas,15,3,182.88,77.1,190.5,1.0,30.0,4.16,0.47,3.19,0.62,0.32,0.12,0.85,0.3,1466
Patrick Williams,8,6,172.72,61.2,185.42,1.0,42.0,4.12,0.51,4.12,0.52,2.71,0.41,1.0,0.5,1838
Bec Rawlings,7,8,167.64,56.7,162.56,1.0,35.0,4.48,0.42,5.66,0.57,0.71,0.4,0.68,0.4,216
Tom Duquesnoy,16,2,170.18,61.2,172.72,1.0,30.0,3.83,0.45,5.3,0.62,0.42,0.25,0.46,0.0,2292
Oliver Enkamp,7,2,182.88,77.1,195.58,3.0,32.0,2.38,0.36,3.55,0.37,0.87,0.16,0.0,0.0,1809
Mark Godbeer,13,4,193.04,108.9,195.58,1.0,40.0,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0,1566
Dmitry Sosnovskiy,11,0,190.5,108.9,195.58,1.0,34.0,2.95,0.7,2.53,0.35,3.16,0.66,1.0,3.2,652
Mike Pyle,27,14,182.88,77.1,187.96,1.0,48.0,2.74,0.45,2.84,0.6,1.8,0.35,0.7,1.5,1689
Russell Doane,15,8,170.18,61.2,177.8,1.0,37.0,1.75,0.4,1.68,0.53,2.11,0.45,0.52,0.8,2047
Albert Morales,7,4,175.26,61.2,182.88,1.0,32.0,3.81,0.35,3.96,0.56,0.91,0.35,0.7,0.2,43
Brian Camozzi,7,5,187.96,77.1,198.12,1.0,32.0,3.15,0.26,6.39,0.54,0.0,0.0,0.0,0.7,291
Joshua Burkman,28,16,177.8,77.1,182.88,1.0,43.0,2.69,0.43,3.13,0.51,2.53,0.36,0.72,0.3,1263
Cyril Asker,9,4,182.88,112.0,187.96,1.0,38.0,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9,505
Damien Brown,17,12,177.8,70.3,172.72,1.0,39.0,3.66,0.38,4.86,0.5,0.68,0.27,0.53,0.7,518
Rob Wilkinson,11,2,190.5,83.9,203.2,1.0,32.0,2.74,0.5,5.66,0.39,4.47,0.25,0.0,0.0,1975
Jeremy Kennedy,11,1,180.34,65.8,180.34,1.0,31.0,2.22,0.46,2.58,0.47,5.73,0.52,0.66,0.0,1078
Timothy Johnson,12,4,190.5,120.2,195.58,2.0,39.0,3.43,0.45,3.08,0.44,1.09,0.24,0.69,0.0,2280
Maia Stevenson,6,5,162.56,52.2,157.48,1.0,42.0,1.57,0.54,3.13,0.33,3.91,1.0,0.5,0.0,1507
Joe Soto,18,7,167.64,61.2,165.1,1.0,37.0,3.36,0.41,5.37,0.67,0.85,0.21,0.7,1.9,1149
Godofredo Pepey,13,6,170.18,65.8,185.42,1.0,36.0,2.32,0.38,3.23,0.47,0.37,0.07,0.35,1.5,861
Juliana Lima,9,5,165.1,52.2,165.1,1.0,42.0,1.94,0.44,2.11,0.55,1.72,0.31,0.7,0.0,1277
Francimar Barroso,19,7,185.42,93.0,190.5,1.0,44.0,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0,786
Sabah Homasi,11,8,182.88,77.1,182.88,1.0,35.0,4.98,0.48,6.91,0.47,2.8,0.5,0.66,0.0,2065
Galore Bofando,5,3,180.34,77.1,182.88,3.0,41.0,3.63,0.45,3.63,0.54,2.37,1.0,0.5,0.0,820
Abel Trujillo,15,8,172.72,70.3,177.8,1.0,40.0,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,13
Oluwale Bamgbose,6,4,180.34,83.9,198.12,3.0,36.0,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0,1811
Erick Silva,19,9,182.88,77.1,187.96,1.0,39.0,2.5,0.48,4.18,0.49,0.85,0.35,0.56,1.4,742
Carls John De Tomas,6,2,165.1,56.7,180.34,2.0,27.0,1.74,0.37,3.93,0.44,1.37,0.33,0.66,0.0,359
Antonio Braga Neto,9,3,190.5,83.9,195.58,1.0,36.0,1.36,0.33,3.92,0.45,3.07,0.37,0.0,0.5,169
Angela Magana,11,9,154.94,52.2,165.1,1.0,40.0,1.53,0.28,4.92,0.42,0.4,0.25,0.28,0.4,143
Christina Marks,8,9,170.18,56.7,175.26,1.0,38.0,5.0,0.58,3.0,0.64,7.5,1.0,0.0,0.0,444
Ryan Janes,10,3,190.5,83.9,193.04,1.0,42.0,7.69,0.48,5.53,0.59,0.35,1.0,0.58,0.0,2053
Karine Gevorgyan,3,3,162.56,56.7,160.02,1.0,35.0,1.2,0.2,1.8,0.76,0.0,0.0,0.0,0.0,1324
Ariel Beck,4,5,167.64,56.7,167.64,2.0,33.0,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0,181
Michael Bisping,30,9,185.42,83.9,190.5,1.0,45.0,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,1645
Wang Guan,20,1,175.26,65.8,180.34,1.0,38.0,4.73,0.43,3.27,0.6,0.0,0.0,0.0,0.0,2396
Bobby Nash,8,4,182.88,77.1,187.96,1.0,34.0,3.42,0.37,3.95,0.51,2.37,0.33,1.0,1.6,254
Kailin Curran,4,5,162.56,52.2,165.1,1.0,32.0,3.89,0.43,4.75,0.53,2.0,0.57,0.61,0.6,1316
Bharat Kandare,5,3,170.18,61.2,182.88,1.0,36.0,0.7,0.1,1.88,0.72,0.0,0.0,0.0,0.0,238
Bojan Velickovic,15,6,182.88,77.1,193.04,2.0,35.0,2.18,0.34,2.31,0.57,0.67,0.25,0.55,0.5,259
Ashkan Mokhtarian,13,3,167.64,56.7,170.18,2.0,38.0,1.95,0.43,3.66,0.43,0.54,0.16,0.33,0.0,188
Will Brooks,18,4,177.8,70.3,182.88,1.0,37.0,4.26,0.59,2.54,0.56,2.08,0.51,0.82,0.3,2407
Anthony Hamilton,15,9,195.58,117.9,193.04,1.0,43.0,3.91,0.65,3.02,0.45,2.62,0.42,0.78,0.0,150
Nate Marquardt,35,19,182.88,83.9,187.96,1.0,44.0,2.71,0.49,2.32,0.55,1.87,0.51,0.7,0.8,1754
Michel Quinones,8,3,177.8,70.3,185.42,1.0,39.0,2.91,0.29,5.98,0.48,0.0,0.0,0.36,0.0,1663
Marcel Fortuna,9,3,185.42,93.0,187.96,1.0,38.0,3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5,1528
Georges St-Pierre,26,2,180.34,83.9,193.04,1.0,42.0,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1,837
Johny Hendricks,18,8,175.26,83.9,175.26,2.0,40.0,3.49,0.45,3.99,0.53,3.83,0.46,0.63,0.3,1194
Hacran Dias,23,6,172.72,70.3,175.26,1.0,39.0,2.08,0.41,3.31,0.55,2.5,0.39,0.76,0.5,880
Christian Colombo,8,3,195.58,120.2,182.04,1.0,43.0,2.76,0.44,4.02,0.42,0.0,0.0,0.33,0.0,439
Jonathan Wilson,7,3,187.96,93.0,190.5,2.0,36.0,2.92,0.48,5.65,0.56,0.37,1.0,0.8,0.0,1209
Marcin Held,23,7,175.26,70.3,180.34,1.0,32.0,1.41,0.34,2.02,0.47,2.46,0.46,0.37,1.3,1535
Pearl Gonzalez,6,3,162.56,52.2,182.04,1.0,37.0,2.23,0.37,4.07,0.57,1.04,0.11,0.0,0.5,1859
Marco Beltran,8,6,172.72,56.7,175.26,1.0,37.0,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2,1541
Takanori Gomi,35,14,170.18,70.3,177.8,2.0,45.0,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8,2226
Henrique da Silva,14,5,190.5,93.0,193.04,1.0,34.0,3.89,0.6,5.28,0.4,0.25,0.14,0.22,0.2,900
Chan-Mi Jeon,5,2,165.1,52.2,182.04,1.0,26.0,6.23,0.31,7.77,0.55,0.0,0.0,0.0,0.0,378
Hyun Gyu Lim,13,7,190.5,77.1,195.58,1.0,39.0,4.45,0.41,5.07,0.51,0.23,1.0,0.73,0.2,919
Azunna Anyanwu,14,5,185.42,113.8,182.04,1.0,42.0,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,207
Jason Saggo,12,4,180.34,70.3,180.34,1.0,38.0,2.5,0.39,2.94,0.52,2.33,0.4,0.23,0.0,1049
Mitch Clarke,11,5,177.8,70.3,185.42,1.0,38.0,2.35,0.34,3.27,0.47,0.64,0.15,0.5,0.4,1713
Adriano Martins,28,9,177.8,70.3,182.88,2.0,41.0,1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4,26
Bojan Mihajlovic,10,6,180.34,93.0,185.42,1.0,43.0,1.23,0.35,5.95,0.47,0.0,0.0,0.33,0.0,258
Abdul-Kerim Edilov,17,4,187.96,93.0,182.04,1.0,32.0,10.22,0.61,0.13,0.92,3.98,1.0,0.0,2.0,12
Andrew Holbrook,12,3,180.34,70.3,177.8,2.0,38.0,2.2,0.49,3.0,0.54,0.85,0.18,0.1,2.1,135
Hector Sandoval,14,4,157.48,56.7,162.56,1.0,37.0,3.31,0.52,2.33,0.65,3.49,0.25,0.71,1.4,898
Rafael Natal,21,9,182.88,83.9,195.58,1.0,41.0,3.1,0.47,2.48,0.57,2.55,0.34,0.77,0.5,1899
Damian Grabowski,20,5,185.42,109.3,190.5,1.0,43.0,4.0,0.36,7.65,0.51,0.0,0.0,0.0,0.0,516
Frankie Perez,10,4,180.34,70.3,185.42,1.0,34.0,1.64,0.41,2.17,0.54,1.75,0.41,0.5,0.3,803
Chris Wade,12,3,177.8,70.3,177.8,1.0,36.0,1.7,0.53,1.75,0.51,2.6,0.51,0.55,1.1,434
James Mulheron,11,2,177.8,110.2,185.42,1.0,36.0,2.4,0.31,3.47,0.42,0.0,0.0,0.25,0.0,1006
Neil Seery,16,13,162.56,56.7,162.56,1.0,44.0,3.56,0.41,3.79,0.58,0.78,0.27,0.53,1.6,1764
Charlie Ward,3,3,180.34,77.1,182.04,1.0,43.0,1.64,0.19,7.21,0.53,0.0,0.0,0.0,0.0,392
Leslie Smith,10,7,175.26,61.2,167.64,1.0,41.0,7.56,0.4,8.41,0.51,0.0,0.0,0.62,0.0,1444
Daniel Omielanczuk,19,8,182.88,112.0,187.96,2.0,41.0,3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1,543
Travis Browne,18,7,198.12,115.7,200.66,1.0,41.0,2.93,0.41,4.31,0.42,1.21,0.68,0.75,0.2,2317
Jesse Taylor,31,15,182.88,77.1,185.42,1.0,41.0,1.94,0.65,0.55,0.38,7.28,0.5,1.0,3.1,1095
Nick Roehrick,7,1,187.96,93.0,182.04,1.0,36.0,2.31,0.17,6.92,0.44,0.0,0.0,0.0,0.0,1780
Tom Gallicchio,19,10,177.8,77.1,182.04,2.0,37.0,3.53,0.26,7.07,0.43,1.0,0.11,0.0,0.0,2294
Joachim Christensen,14,6,190.5,93.0,193.04,1.0,45.0,3.78,0.41,3.29,0.46,0.0,0.0,0.0,0.0,1120
Dennis Siver,23,11,167.64,65.8,177.8,1.0,45.0,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3,625
Johnny Case,22,6,177.8,70.3,182.88,1.0,34.0,3.95,0.38,2.66,0.61,1.7,0.45,0.72,0.2,1188
Josh Stansbury,4,8,187.96,93.0,187.96,1.0,39.0,3.22,0.54,3.54,0.54,0.0,0.0,0.87,1.0,1260
Dong Hyun Kim,22,4,187.96,77.1,193.04,2.0,42.0,2.12,0.49,1.89,0.58,2.93,0.43,0.71,0.6,664
Tarec Saffiedine,16,7,177.8,77.1,177.8,3.0,37.0,4.05,0.47,3.06,0.62,0.52,0.36,0.84,0.1,2235
Kwan Ho Kwak,9,2,165.1,61.2,182.04,3.0,34.0,3.29,0.41,3.45,0.47,0.78,1.0,0.26,0.0,1406
Dominique Steele,14,9,177.8,77.1,187.96,1.0,36.0,2.32,0.49,2.42,0.5,2.95,0.42,0.76,0.0,658
Kiichi Kunimoto,18,7,177.8,77.1,180.34,1.0,42.0,1.87,0.44,3.92,0.41,1.59,0.2,0.28,0.3,1388
Jim Wallhead,29,11,177.8,77.1,182.04,1.0,40.0,3.19,0.26,6.65,0.49,0.0,0.0,1.0,0.0,1110
Alex Nicholson,7,4,193.04,83.9,195.58,1.0,33.0,4.12,0.43,4.65,0.47,0.0,0.0,0.5,0.5,68
Chris Camozzi,24,13,187.96,83.9,190.5,1.0,37.0,3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5,408
Reza Madadi,14,6,180.34,70.3,185.42,1.0,45.0,2.51,0.46,3.31,0.66,3.17,0.33,0.89,0.5,1940
Nicholas Musoke,13,5,182.88,77.1,190.5,1.0,37.0,3.56,0.35,3.8,0.57,1.16,0.19,0.82,0.2,1767
Michael McBride,8,3,185.42,70.3,182.04,1.0,38.0,4.08,0.48,5.85,0.4,1.85,0.42,0.3,1.2,1651
Cindy Dandois,8,3,170.18,61.2,182.04,1.0,39.0,3.13,0.32,3.4,0.58,5.0,0.55,0.0,0.0,449
Joe Proctor,11,5,177.8,70.3,182.88,1.0,38.0,3.39,0.36,3.93,0.59,0.0,0.0,0.7,1.8,1143
Roy Nelson,22,14,182.88,119.3,185.42,1.0,47.0,2.18,0.36,4.79,0.46,1.14,0.27,0.65,0.1,2040
Rashid Magomedov,20,2,175.26,70.3,177.8,1.0,39.0,4.4,0.49,3.05,0.54,0.67,0.57,0.89,0.2,1920
Augusto Mendes,6,2,167.64,61.2,165.1,1.0,41.0,2.42,0.34,3.91,0.56,1.75,0.33,0.8,0.0,196
Nathan Coy,15,7,177.8,77.1,175.26,2.0,45.0,3.88,0.52,2.4,0.61,3.17,0.47,0.5,0.0,1758
Anthony Johnson,22,6,187.96,93.0,198.12,1.0,40.0,3.25,0.47,1.83,0.6,2.43,0.57,0.77,0.6,153
Gegard Mousasi,42,6,187.96,83.9,193.04,1.0,38.0,3.75,0.5,1.21,0.68,1.59,0.6,0.59,1.1,830
Patrick Cote,23,11,180.34,77.1,190.5,1.0,44.0,2.81,0.48,3.21,0.48,0.68,0.2,0.43,0.2,1834
Mike de la Torre,14,7,180.34,65.8,180.34,1.0,37.0,3.21,0.39,4.75,0.51,0.36,0.16,0.83,0.0,1701
Brad Pickett,25,14,167.64,61.2,172.72,1.0,45.0,3.02,0.31,4.63,0.55,2.47,0.44,0.58,0.4,268
Scott Askham,14,4,190.5,83.9,190.5,2.0,35.0,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,2096
Rony Jason,14,7,170.18,65.8,185.42,1.0,40.0,2.04,0.44,3.14,0.53,0.59,0.3,0.36,0.8,2026
Garreth McLellan,13,6,185.42,83.9,182.88,2.0,41.0,3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9,823
Sam Sicilia,15,8,172.72,65.8,170.18,1.0,38.0,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9,2081
Alex Ricci,10,5,180.34,70.3,182.04,1.0,41.0,2.48,0.41,2.53,0.64,0.0,0.0,0.64,0.0,73
Reginaldo Vieira,13,5,170.18,61.2,165.1,1.0,41.0,3.76,0.4,2.89,0.59,1.97,0.27,0.25,0.8,1930
Phillipe Nover,11,8,175.26,65.8,182.88,1.0,40.0,1.79,0.35,2.48,0.56,0.99,0.28,0.44,0.7,1880
Roan Carneiro,21,11,180.34,77.1,193.04,1.0,45.0,1.46,0.46,1.82,0.62,3.05,0.42,0.83,1.4,1969
Michinori Tanaka,11,3,165.1,61.2,170.18,1.0,33.0,1.97,0.37,1.99,0.5,2.4,0.38,0.43,0.2,1666
Daniel Jolly,5,3,185.42,93.0,190.5,1.0,39.0,1.32,0.46,3.39,0.44,2.83,0.33,0.5,0.0,539
JC Cottrell,17,5,175.26,70.3,182.04,1.0,34.0,0.79,0.25,2.75,0.45,0.79,1.0,0.5,0.0,963
Viktor Pesta,10,4,190.5,108.9,195.58,1.0,33.0,1.58,0.36,2.54,0.56,3.29,0.28,1.0,0.0,2368
Jocelyn Jones-Lybarger,6,4,170.18,52.2,162.56,1.0,38.0,2.96,0.31,4.83,0.56,0.34,0.25,0.81,0.0,1130
Ronda Rousey,12,2,170.18,61.2,167.64,1.0,37.0,4.17,0.52,4.14,0.44,6.26,0.68,0.5,4.8,2022
Brandon Thatch,11,5,187.96,77.1,187.96,3.0,38.0,2.7,0.42,3.63,0.52,1.36,0.66,0.5,0.7,279
Cole Miller,21,11,185.42,65.8,185.42,1.0,39.0,3.0,0.33,3.88,0.59,0.6,0.36,0.38,1.8,473
James Moontasri,9,5,177.8,77.1,180.34,3.0,35.0,2.39,0.48,3.86,0.4,0.0,0.0,0.79,0.2,1005
Takeya Mizugaki,21,11,170.18,61.2,175.26,1.0,40.0,3.37,0.37,3.27,0.57,1.46,0.57,0.7,0.1,2229
Fredy Serrano,3,2,160.02,56.7,165.1,1.0,44.0,1.58,0.26,1.89,0.61,2.84,0.25,0.84,0.0,807
Tim Kennedy,18,6,180.34,83.9,187.96,1.0,44.0,2.78,0.47,1.84,0.62,2.58,0.35,0.7,0.7,2273
Valerie Letourneau,8,6,170.18,52.2,172.72,1.0,40.0,4.51,0.37,5.4,0.58,0.77,0.45,0.66,0.3,2351
Zach Makovsky,20,8,162.56,56.7,162.56,2.0,40.0,1.94,0.43,2.24,0.62,3.71,0.3,0.56,0.3,2457
Sean O'Connell,17,9,185.42,93.0,187.96,1.0,40.0,5.46,0.48,6.77,0.45,0.0,0.0,0.3,0.5,2111
Joseph Gigliotti,7,2,180.34,83.9,182.04,1.0,30.0,1.04,0.39,2.92,0.45,1.56,1.0,0.5,0.8,1236
Tiago dos Santos e Silva,20,7,175.26,65.8,177.8,1.0,36.0,3.69,0.35,4.23,0.59,0.63,0.11,0.33,0.3,2266
Keith Berish,5,1,182.88,93.0,182.04,1.0,38.0,3.58,0.36,4.81,0.62,1.76,0.4,0.0,0.0,1345
Brendan O'Reilly,6,3,170.18,77.1,175.26,1.0,36.0,1.9,0.47,2.77,0.39,2.22,0.43,0.36,0.6,285
Elvis Mutapcic,15,6,182.88,83.9,182.88,1.0,37.0,3.41,0.4,4.27,0.38,0.0,0.0,0.81,0.0,725
Kyle Noke,22,10,185.42,77.1,193.04,2.0,44.0,3.23,0.5,2.09,0.64,1.53,0.54,0.66,0.8,1412
Yusuke Kasuya,9,3,170.18,70.3,182.04,2.0,34.0,2.17,0.44,4.34,0.48,1.36,0.33,0.0,0.0,2450
Seo Hee Ham,17,8,157.48,52.2,157.48,2.0,37.0,4.2,0.39,5.15,0.61,0.0,0.0,0.66,0.2,2122
Richard Walsh,9,5,182.88,77.1,185.42,1.0,35.0,3.84,0.46,2.72,0.58,1.55,0.4,0.66,0.2,1954
Jonathan Meunier,8,1,190.5,77.1,182.04,3.0,36.0,3.47,0.5,1.43,0.69,0.58,0.33,0.58,0.0,1206
Geane Herrera,9,3,165.1,56.7,167.64,1.0,33.0,1.51,0.31,5.07,0.52,0.83,0.37,0.38,0.6,829
Guangyou Ning,5,4,162.56,65.8,162.56,2.0,42.0,2.66,0.41,1.91,0.61,1.09,0.5,0.62,0.3,872
Yao Zhikui,2,4,165.1,56.7,162.56,1.0,33.0,1.44,0.21,2.82,0.48,0.66,0.16,0.58,0.0,2427
Ryan Bader,23,5,187.96,93.0,187.96,1.0,40.0,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,2049
Manvel Gamburyan,15,10,165.1,61.2,170.18,1.0,42.0,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7,1523
Magnus Cedenblad,14,5,195.58,83.9,200.66,1.0,41.0,2.38,0.51,3.02,0.4,2.87,0.64,0.66,1.0,1503
Kyoji Horiguchi,19,2,165.1,56.7,167.64,1.0,33.0,3.6,0.45,2.45,0.62,2.0,0.44,0.55,0.0,1417
Ali Bagautinov,15,6,162.56,56.7,165.1,1.0,38.0,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,94
Anna Elmose,3,2,160.02,52.2,182.04,1.0,39.0,3.68,0.49,4.64,0.56,0.0,0.0,0.33,0.0,145
Milana Dudieva,11,6,160.02,61.2,182.04,1.0,34.0,0.87,0.31,3.43,0.58,2.34,0.45,0.0,0.0,1704
Heather Clark,7,6,167.64,52.2,162.56,1.0,43.0,3.69,0.49,5.62,0.5,0.33,0.04,0.8,0.3,894
Erik Perez,17,6,172.72,61.2,172.72,1.0,34.0,3.16,0.4,2.09,0.66,3.16,0.55,0.69,0.2,745
Erick Montano,7,5,182.88,77.1,185.42,1.0,38.0,2.79,0.44,2.06,0.64,2.29,0.36,0.66,0.0,741
Jason Novelli,11,3,182.88,70.3,182.04,1.0,44.0,1.73,0.24,3.55,0.66,0.7,0.33,1.0,0.0,1047
Chris Avila,5,4,177.8,65.8,182.04,1.0,31.0,2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0,404
Dan Henderson,32,15,180.34,83.9,187.96,1.0,53.0,2.44,0.47,2.7,0.51,1.52,0.52,0.57,0.3,529
Albert Tumenov,18,4,180.34,77.1,185.42,1.0,32.0,3.76,0.42,3.34,0.58,0.2,0.2,0.75,0.0,44
Lukasz Sajewski,13,3,172.72,70.3,180.34,1.0,33.0,2.06,0.35,3.88,0.57,1.01,0.25,0.66,0.0,1487
Tamdan McCrory,14,5,193.04,83.9,193.04,3.0,37.0,2.07,0.49,1.6,0.46,2.28,0.5,0.33,2.5,2232
Cody East,12,3,190.5,111.1,182.04,1.0,35.0,4.15,0.43,7.32,0.4,3.97,1.0,0.16,0.0,465
Kelly Faszholz,4,2,172.72,61.2,182.04,1.0,38.0,4.01,0.48,3.61,0.52,0.0,0.0,0.44,0.0,1352
Antonio Silva,19,12,193.04,119.8,208.28,1.0,44.0,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8,176
Hector Urbina,17,10,180.34,77.1,185.42,1.0,36.0,0.97,0.38,2.44,0.39,0.0,0.0,0.38,3.8,899
Glaico Franca Moreira,15,5,182.88,70.3,195.58,1.0,33.0,2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3,857
Kenny Robertson,15,5,177.8,77.1,187.96,1.0,40.0,3.72,0.47,3.02,0.52,1.37,0.26,0.57,0.8,1360
Maximo Blanco,12,8,172.72,65.8,180.34,1.0,40.0,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,1631
Augusto Montano,15,3,185.42,77.1,185.42,1.0,39.0,3.46,0.46,2.66,0.56,0.0,0.0,0.66,0.0,197
Leonardo Guimaraes,11,5,182.88,83.9,182.04,1.0,41.0,2.35,0.56,2.99,0.44,0.0,0.0,0.52,1.0,1439
Joey Gomez,6,2,177.8,61.2,185.42,1.0,37.0,2.44,0.28,4.46,0.55,0.62,1.0,0.5,0.0,1158
CM Punk,0,1,185.42,77.1,185.42,1.0,45.0,1.1,0.23,4.87,0.4,0.87,0.11,0.0,0.0,327
Caio Magalhaes,10,3,185.42,83.9,185.42,1.0,36.0,2.27,0.4,2.78,0.56,1.05,0.15,0.58,1.6,332
Sean Spencer,12,6,177.8,77.1,187.96,1.0,36.0,4.24,0.32,4.02,0.6,0.14,0.33,0.68,0.0,2117
Josh Barnett,35,8,190.5,113.4,198.12,1.0,46.0,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,1240
Tae Hyun Bang,18,10,175.26,70.3,180.34,3.0,40.0,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,2219
Leandro Issa,13,6,170.18,61.2,175.26,1.0,40.0,2.08,0.37,3.17,0.58,2.38,0.22,0.5,1.2,1432
Leandro Silva,20,6,175.26,70.3,182.88,1.0,38.0,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,1433
Kevin Casey,9,5,180.34,83.9,195.58,2.0,42.0,2.27,0.53,3.76,0.46,0.79,0.22,0.27,0.4,1367
Shane Campbell,14,6,182.88,70.3,180.34,1.0,37.0,3.99,0.59,3.19,0.55,1.36,0.28,0.82,0.0,2140
Rick Story,19,9,175.26,77.1,180.34,2.0,39.0,3.8,0.41,2.17,0.62,2.53,0.48,0.63,0.9,1960
Elizabeth Phillips,6,6,167.64,61.2,165.1,1.0,37.0,2.6,0.33,3.07,0.58,0.75,0.25,0.53,0.2,722
Lorenz Larkin,18,6,180.34,77.1,182.88,1.0,37.0,3.53,0.46,2.74,0.63,0.27,0.42,0.79,0.1,1461
Alberto Uda,12,2,190.5,83.9,182.04,1.0,39.0,1.79,0.52,3.49,0.45,2.83,0.5,0.66,0.0,48
Horacio Gutierrez,4,3,177.8,65.8,182.04,1.0,33.0,0.86,0.26,2.91,0.46,0.0,0.0,0.5,0.0,909
Tatsuya Kawajiri,36,11,170.18,65.8,175.26,1.0,45.0,2.04,0.44,2.01,0.5,3.63,0.48,0.63,1.1,2239
Francisco Rivera,11,7,172.72,61.2,177.8,1.0,42.0,4.07,0.41,3.16,0.68,1.01,0.63,0.68,0.6,792
Cesar Arzamendia,8,3,180.34,70.3,182.04,1.0,33.0,5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4,368
Jim Alers,13,3,175.26,65.8,180.34,1.0,37.0,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,1107
Michael McDonald,17,4,175.26,61.2,177.8,1.0,33.0,2.69,0.42,2.76,0.57,1.09,0.66,0.52,1.4,1652
Josh Samman,13,4,190.5,83.9,200.66,1.0,36.0,2.08,0.52,2.47,0.34,1.09,0.33,0.33,0.4,1256
Cristina Stanciu,5,2,160.02,52.2,182.04,1.0,29.0,2.5,0.5,3.07,0.52,0.85,1.0,0.4,1.7,497
Cody Pfister,13,6,177.8,70.3,185.42,1.0,33.0,1.41,0.25,2.8,0.51,2.82,0.3,0.0,0.0,469
Enrique Marin,10,4,177.8,77.1,182.04,1.0,37.0,1.43,0.33,3.0,0.5,2.5,0.38,0.6,1.0,733
Thiago Tavares,21,7,170.18,65.8,177.8,1.0,39.0,2.0,0.4,2.31,0.62,3.83,0.42,0.62,1.5,2260
Fernando Bruno,15,4,167.64,65.8,182.04,1.0,42.0,1.75,0.39,1.78,0.48,2.02,0.22,0.56,0.5,777
Cory Hendricks,3,1,190.5,93.0,182.04,3.0,35.0,3.13,0.39,4.07,0.42,0.0,0.0,1.0,0.0,486
Anton Zafir,7,3,180.34,77.1,182.04,1.0,36.0,2.99,0.64,2.31,0.52,6.11,0.6,0.0,0.0,164
Mehdi Baghdad,11,5,185.42,70.3,182.04,1.0,38.0,3.13,0.3,4.56,0.46,0.0,0.0,0.33,0.0,1635
Dileno Lopes,19,3,165.1,61.2,182.04,1.0,39.0,2.37,0.36,3.33,0.53,2.5,0.31,1.0,1.5,648
Jerrod Sanders,16,3,172.72,61.2,182.88,1.0,44.0,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,1084
Rory MacDonald,19,4,182.88,77.1,193.04,1.0,34.0,3.75,0.42,2.8,0.62,1.77,0.47,0.88,0.4,2030
Steve Bosse,12,2,180.34,93.0,182.88,1.0,42.0,5.99,0.52,5.38,0.5,0.92,0.33,1.0,0.0,2185
Chris Beal,10,5,170.18,56.7,175.26,1.0,38.0,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2,406
Yan Cabral,13,3,180.34,70.3,185.42,1.0,40.0,2.02,0.47,1.98,0.62,2.89,0.35,0.37,1.2,2421
Dominic Waters,9,5,185.42,77.1,200.66,1.0,34.0,0.48,0.23,2.53,0.39,4.07,0.52,0.28,0.0,655
Willie Gates,12,7,172.72,56.7,182.88,1.0,37.0,1.8,0.38,4.28,0.38,0.0,0.0,0.67,0.4,2414
Chris Kelades,9,3,170.18,56.7,172.72,1.0,43.0,2.4,0.43,2.64,0.48,1.04,0.18,0.53,0.3,424
Clint Hester,11,6,187.96,93.0,195.58,1.0,37.0,3.36,0.42,3.44,0.56,1.02,0.35,0.6,0.0,461
