name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,Dövüşçü Kimliği
Jamie Pickett,13,11,187.96,83.9,203.2,1.0,35.0,2.65,0.47,3.62,0.5,1.26,0.4,0.67,0.1,1016
Vinicius Oliveira,20,3,175.26,61.2,177.8,3.0,28.0,5.42,0.47,2.94,0.5,1.69,0.5,0.4,0.0,2374
Benardo Sopaj,11,3,167.64,61.2,167.64,1.0,23.0,3.06,0.52,4.56,0.53,3.06,0.75,0.5,0.0,227
Aiemann Zahabi,11,2,172.72,61.2,172.72,1.0,36.0,3.43,0.43,3.61,0.71,0.2,0.16,0.79,0.0,28
Javid Basharat,14,1,175.26,61.2,175.26,1.0,28.0,5.42,0.53,2.97,0.62,1.7,0.4,0.85,0.2,1055
Christian Leroy Duncan,10,1,187.96,83.9,200.66,3.0,28.0,5.96,0.62,3.82,0.5,0.45,0.14,0.5,0.0,440
Claudio Ribeiro,11,5,185.42,83.9,195.58,1.0,31.0,3.59,0.51,4.9,0.3,0.56,0.5,0.66,0.0,454
Ludovit Klein,21,4,170.18,70.3,182.88,2.0,29.0,3.96,0.55,3.74,0.53,1.77,0.47,0.83,0.0,1476
AJ Cunningham,11,4,177.8,70.3,180.34,1.0,29.0,7.66,0.29,11.9,0.48,0.0,0.0,0.33,0.0,0
Abdul-Kareem Al-Selwady,15,4,172.72,70.3,175.26,1.0,28.0,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,11
Loik Radzhabov,18,5,180.34,70.3,175.26,1.0,33.0,2.93,0.42,4.73,0.45,6.73,0.57,0.55,0.0,1458
Brandon Moreno,21,8,170.18,56.7,177.8,1.0,30.0,3.87,0.44,3.63,0.59,1.74,0.46,0.63,0.5,277
Brandon Royval,16,7,175.26,56.7,172.72,2.0,31.0,4.33,0.36,3.42,0.46,0.47,0.6,0.4,1.1,278
Yair Rodriguez,16,5,180.34,65.8,180.34,1.0,31.0,4.65,0.46,3.99,0.52,0.69,0.27,0.58,0.7,2420
Brian Ortega,16,3,172.72,65.8,175.26,3.0,33.0,4.07,0.38,6.54,0.49,1.17,0.27,0.57,1.2,301
Daniel Zellhuber,15,1,185.42,70.3,195.58,3.0,24.0,5.86,0.41,5.06,0.56,0.22,0.33,0.94,0.2,552
Francisco Prado,12,2,177.8,70.3,175.26,1.0,21.0,4.58,0.41,5.66,0.52,0.0,0.0,0.25,0.4,791
Yazmin Jauregui,11,1,160.02,52.2,162.56,1.0,25.0,6.26,0.38,5.12,0.55,0.0,0.0,1.0,0.0,2430
Sam Hughes,8,6,165.1,52.2,162.56,1.0,31.0,4.03,0.45,4.51,0.56,0.96,0.3,0.57,0.0,2079
Manuel Torres,15,2,177.8,70.3,185.42,3.0,29.0,8.14,0.58,3.15,0.56,3.26,0.66,0.88,1.6,1522
Chris Duncan,11,2,177.8,70.3,180.34,1.0,30.0,4.88,0.46,3.65,0.49,3.85,0.38,0.33,0.0,416
Cristian Quinonez,18,5,172.72,61.2,177.8,1.0,27.0,4.19,0.4,4.55,0.55,1.37,0.37,0.84,0.0,494
Raoni Barcelos,18,5,170.18,61.2,170.18,1.0,36.0,5.22,0.51,4.79,0.61,1.86,0.32,0.85,0.6,1914
Jesus Aguilar,10,2,162.56,56.7,157.48,1.0,28.0,1.49,0.5,1.11,0.59,1.9,0.33,0.4,1.4,1103
Mateus Mendonca,10,3,167.64,56.7,180.34,1.0,25.0,1.66,0.4,4.14,0.3,2.54,0.27,0.55,0.4,1596
Edgar Chairez,11,5,170.18,56.7,180.34,1.0,28.0,2.69,0.48,4.1,0.43,0.0,0.0,0.41,1.7,702
Daniel Lacerda,11,6,167.64,56.7,177.8,3.0,27.0,3.95,0.45,8.28,0.34,2.32,0.5,0.0,1.2,541
Claudio Puelles,13,4,177.8,70.3,182.88,2.0,27.0,1.56,0.49,2.78,0.46,3.17,0.36,0.6,1.2,453
Fares Ziam,15,4,185.42,70.3,190.5,1.0,27.0,2.7,0.48,1.72,0.65,0.81,0.23,0.67,0.2,766
Ronaldo Rodriguez,17,2,167.64,56.7,165.1,1.0,24.0,2.0,0.41,3.56,0.47,1.2,0.5,0.63,1.8,2021
Denys Bondar,14,5,167.64,56.7,175.26,1.0,31.0,4.59,0.5,5.16,0.56,3.99,0.58,0.62,0.0,626
Victor Altamirano,12,4,172.72,56.7,177.8,3.0,33.0,4.55,0.57,3.7,0.54,3.43,0.39,0.63,0.0,2361
Felipe dos Santos,8,1,170.18,56.7,177.8,1.0,23.0,4.53,0.34,5.07,0.4,0.0,0.0,0.16,0.5,775
